geracao;fi;distancia
0;6.877561263867799E-6;145400.3769117457;
1;7.053120928447422E-6;141781.20723362194;
2;7.079691471207873E-6;141249.0931373015;
3;7.079691471207873E-6;141249.0931373015;
4;7.176485975049893E-6;139343.96353266024;
5;7.176485975049893E-6;139343.96353266024;
6;7.176485975049893E-6;139343.96353266024;
7;7.176485975049893E-6;139343.96353266024;
8;7.176485975049893E-6;139343.96353266024;
9;7.176485975049893E-6;139343.96353266024;
10;7.176485975049893E-6;139343.96353266024;
11;7.176485975049893E-6;139343.96353266024;
12;7.1952000680770935E-6;138981.54193608803;
13;7.1952000680770935E-6;138981.54193608803;
14;7.1952000680770935E-6;138981.54193608803;
15;7.1952000680770935E-6;138981.54193608803;
16;7.1952000680770935E-6;138981.54193608803;
17;7.1952000680770935E-6;138981.54193608803;
18;7.1952000680770935E-6;138981.54193608803;
19;7.290089957183462E-6;137172.51856606055;
20;7.290089957183462E-6;137172.51856606055;
21;7.65337943649871E-6;130661.23381143674;
22;7.65337943649871E-6;130661.23381143674;
23;7.65337943649871E-6;130661.23381143674;
24;7.65337943649871E-6;130661.23381143674;
25;7.65337943649871E-6;130661.23381143674;
26;7.65337943649871E-6;130661.23381143674;
27;7.65337943649871E-6;130661.23381143674;
28;7.65337943649871E-6;130661.23381143674;
29;7.908348992434633E-6;126448.64319425335;
30;8.154082751369384E-6;122637.95088810712;
31;8.276400065171697E-6;120825.47872572599;
32;8.276400065171697E-6;120825.47872572599;
33;8.276400065171697E-6;120825.47872572599;
34;8.276400065171697E-6;120825.47872572599;
35;8.276400065171697E-6;120825.47872572599;
36;8.276400065171697E-6;120825.47872572599;
37;8.361135449878957E-6;119600.98075130177;
38;8.361135449878957E-6;119600.98075130177;
39;8.361135449878957E-6;119600.98075130177;
40;8.361135449878957E-6;119600.98075130177;
41;8.361135449878957E-6;119600.98075130177;
42;8.361135449878957E-6;119600.98075130177;
43;8.361135449878957E-6;119600.98075130177;
44;8.361135449878957E-6;119600.98075130177;
45;8.361135449878957E-6;119600.98075130177;
46;8.361135449878957E-6;119600.98075130177;
47;8.361135449878957E-6;119600.98075130177;
48;8.361135449878957E-6;119600.98075130177;
49;8.361135449878957E-6;119600.98075130177;
50;8.361135449878957E-6;119600.98075130177;
51;8.361135449878957E-6;119600.98075130177;
52;8.361135449878957E-6;119600.98075130177;
53;8.361135449878957E-6;119600.98075130177;
54;8.361135449878957E-6;119600.98075130177;
55;8.361135449878957E-6;119600.98075130177;
56;8.361135449878957E-6;119600.98075130177;
57;8.361135449878957E-6;119600.98075130177;
58;8.361135449878957E-6;119600.98075130177;
59;8.361135449878957E-6;119600.98075130177;
60;8.361135449878957E-6;119600.98075130177;
61;8.361135449878957E-6;119600.98075130177;
62;8.361135449878957E-6;119600.98075130177;
63;8.361135449878957E-6;119600.98075130177;
64;8.361135449878957E-6;119600.98075130177;
65;8.361135449878957E-6;119600.98075130177;
66;8.361135449878957E-6;119600.98075130177;
67;8.361135449878957E-6;119600.98075130177;
68;8.361135449878957E-6;119600.98075130177;
69;8.361135449878957E-6;119600.98075130177;
70;8.361135449878957E-6;119600.98075130177;
71;8.361135449878957E-6;119600.98075130177;
72;8.361135449878957E-6;119600.98075130177;
73;8.361135449878957E-6;119600.98075130177;
74;8.361135449878957E-6;119600.98075130177;
75;8.379619051730439E-6;119337.16721806038;
76;8.379619051730439E-6;119337.16721806038;
77;8.379619051730439E-6;119337.16721806038;
78;8.379619051730439E-6;119337.16721806038;
79;8.379619051730439E-6;119337.16721806038;
80;8.479671010549108E-6;117929.1034706362;
81;8.479671010549108E-6;117929.1034706362;
82;8.479671010549108E-6;117929.1034706362;
83;8.479671010549108E-6;117929.1034706362;
84;8.479671010549108E-6;117929.1034706362;
85;8.479671010549108E-6;117929.1034706362;
86;8.479671010549108E-6;117929.1034706362;
87;8.479671010549108E-6;117929.1034706362;
88;8.479671010549108E-6;117929.1034706362;
89;8.479671010549108E-6;117929.1034706362;
90;8.479671010549108E-6;117929.1034706362;
91;8.479671010549108E-6;117929.1034706362;
92;8.479671010549108E-6;117929.1034706362;
93;8.479671010549108E-6;117929.1034706362;
94;8.479671010549108E-6;117929.1034706362;
95;8.479671010549108E-6;117929.1034706362;
96;8.479671010549108E-6;117929.1034706362;
97;8.479671010549108E-6;117929.1034706362;
98;8.479671010549108E-6;117929.1034706362;
99;8.479671010549108E-6;117929.1034706362;
100;8.479671010549108E-6;117929.1034706362;
101;8.479671010549108E-6;117929.1034706362;
102;8.479671010549108E-6;117929.1034706362;
103;8.479671010549108E-6;117929.1034706362;
104;8.479671010549108E-6;117929.1034706362;
105;8.479671010549108E-6;117929.1034706362;
106;8.479671010549108E-6;117929.1034706362;
107;8.479671010549108E-6;117929.1034706362;
108;8.479671010549108E-6;117929.1034706362;
109;8.479671010549108E-6;117929.1034706362;
110;8.479671010549108E-6;117929.1034706362;
111;8.479671010549108E-6;117929.1034706362;
112;8.479671010549108E-6;117929.1034706362;
113;8.479671010549108E-6;117929.1034706362;
114;8.479671010549108E-6;117929.1034706362;
115;8.479671010549108E-6;117929.1034706362;
116;8.479671010549108E-6;117929.1034706362;
117;8.479671010549108E-6;117929.1034706362;
118;8.479671010549108E-6;117929.1034706362;
119;8.479671010549108E-6;117929.1034706362;
120;8.479671010549108E-6;117929.1034706362;
121;8.479671010549108E-6;117929.1034706362;
122;8.521217822654818E-6;117354.11778130631;
123;8.521217822654818E-6;117354.11778130631;
124;8.792323225239764E-6;113735.58209613367;
125;8.792323225239764E-6;113735.58209613367;
126;8.792323225239764E-6;113735.58209613367;
127;8.792323225239764E-6;113735.58209613367;
128;8.792323225239764E-6;113735.58209613367;
129;8.792323225239764E-6;113735.58209613367;
130;8.792323225239764E-6;113735.58209613367;
131;8.792323225239764E-6;113735.58209613367;
132;8.792323225239764E-6;113735.58209613367;
133;8.792323225239764E-6;113735.58209613367;
134;8.792323225239764E-6;113735.58209613367;
135;8.792323225239764E-6;113735.58209613367;
136;8.792323225239764E-6;113735.58209613367;
137;8.792323225239764E-6;113735.58209613367;
138;8.792323225239764E-6;113735.58209613367;
139;8.792323225239764E-6;113735.58209613367;
140;8.792323225239764E-6;113735.58209613367;
141;8.792323225239764E-6;113735.58209613367;
142;8.792323225239764E-6;113735.58209613367;
143;8.792323225239764E-6;113735.58209613367;
144;8.792323225239764E-6;113735.58209613367;
145;8.792323225239764E-6;113735.58209613367;
146;8.792323225239764E-6;113735.58209613367;
147;8.792323225239764E-6;113735.58209613367;
148;8.792323225239764E-6;113735.58209613367;
149;8.792323225239764E-6;113735.58209613367;
150;8.792323225239764E-6;113735.58209613367;
151;8.792323225239764E-6;113735.58209613367;
152;8.792323225239764E-6;113735.58209613367;
153;8.792323225239764E-6;113735.58209613367;
154;8.792323225239764E-6;113735.58209613367;
155;8.792323225239764E-6;113735.58209613367;
156;8.792323225239764E-6;113735.58209613367;
157;8.792323225239764E-6;113735.58209613367;
158;8.792323225239764E-6;113735.58209613367;
159;8.792323225239764E-6;113735.58209613367;
160;8.792323225239764E-6;113735.58209613367;
161;8.792323225239764E-6;113735.58209613367;
162;8.792323225239764E-6;113735.58209613367;
163;8.792323225239764E-6;113735.58209613367;
164;8.792323225239764E-6;113735.58209613367;
165;8.792323225239764E-6;113735.58209613367;
166;8.792323225239764E-6;113735.58209613367;
167;8.792323225239764E-6;113735.58209613367;
168;8.792323225239764E-6;113735.58209613367;
169;8.792323225239764E-6;113735.58209613367;
170;8.792323225239764E-6;113735.58209613367;
171;8.792323225239764E-6;113735.58209613367;
172;8.792323225239764E-6;113735.58209613367;
173;8.851499502463418E-6;112975.20829343039;
174;8.851499502463418E-6;112975.20829343039;
175;8.851499502463418E-6;112975.20829343039;
176;8.851499502463418E-6;112975.20829343039;
177;8.851499502463418E-6;112975.20829343039;
178;8.851499502463418E-6;112975.20829343039;
179;8.851499502463418E-6;112975.20829343039;
180;8.851499502463418E-6;112975.20829343039;
181;8.851499502463418E-6;112975.20829343039;
182;8.851499502463418E-6;112975.20829343039;
183;8.851499502463418E-6;112975.20829343039;
184;8.851499502463418E-6;112975.20829343039;
185;8.851499502463418E-6;112975.20829343039;
186;8.851499502463418E-6;112975.20829343039;
187;8.851499502463418E-6;112975.20829343039;
188;8.919921469066887E-6;112108.6103132038;
189;8.919921469066887E-6;112108.6103132038;
190;8.919921469066887E-6;112108.6103132038;
191;8.919921469066887E-6;112108.6103132038;
192;8.919921469066887E-6;112108.6103132038;
193;8.919921469066887E-6;112108.6103132038;
194;8.919921469066887E-6;112108.6103132038;
195;8.919921469066887E-6;112108.6103132038;
196;8.919921469066887E-6;112108.6103132038;
197;8.919921469066887E-6;112108.6103132038;
198;8.919921469066887E-6;112108.6103132038;
199;8.919921469066887E-6;112108.6103132038;
200;8.919921469066887E-6;112108.6103132038;
201;8.919921469066887E-6;112108.6103132038;
202;8.943484489580083E-6;111813.24249682378;
203;8.943484489580083E-6;111813.24249682378;
204;8.943484489580083E-6;111813.24249682378;
205;8.943484489580083E-6;111813.24249682378;
206;8.943484489580083E-6;111813.24249682378;
207;8.943484489580083E-6;111813.24249682378;
208;8.943484489580083E-6;111813.24249682378;
209;8.943484489580083E-6;111813.24249682378;
210;8.943484489580083E-6;111813.24249682378;
211;8.943484489580083E-6;111813.24249682378;
212;8.943484489580083E-6;111813.24249682378;
213;8.943484489580083E-6;111813.24249682378;
