fi	distancia
6.957572252137229E-6	143728.295411208
6.995462647618122E-6	142949.801946336
7.11100145200198E-6	140627.16858516
7.11100145200198E-6	140627.16858516
7.11100145200198E-6	140627.16858516
7.191135413163306E-6	139060.098655563
7.191135413163306E-6	139060.098655563
7.446475707340578E-6	134291.715880335
7.497405499571918E-6	133379.473746898
7.663149410237186E-6	130494.649975649
7.663149410237186E-6	130494.649975649
7.663149410237186E-6	130494.649975649
7.663149410237186E-6	130494.649975649
7.663149410237186E-6	130494.649975649
7.663149410237186E-6	130494.649975649
7.764123899792299E-6	128797.532459104
7.895014106504269E-6	126662.218269649
7.895014106504269E-6	126662.218269649
8.045690832179036E-6	124290.135037313
8.045690832179036E-6	124290.135037313
8.045690832179036E-6	124290.135037313
8.045690832179036E-6	124290.135037313
8.098628883645813E-6	123477.691639801
8.098628883645813E-6	123477.691639801
8.098628883645813E-6	123477.691639801
8.22356532080493E-6	121601.757995414
8.22356532080493E-6	121601.757995414
8.22356532080493E-6	121601.757995414
8.22356532080493E-6	121601.757995414
8.22356532080493E-6	121601.757995414
8.22356532080493E-6	121601.757995414
8.22356532080493E-6	121601.757995414
8.32812294968932E-6	120075.076465737
8.32812294968932E-6	120075.076465737
8.32812294968932E-6	120075.076465737
8.32812294968932E-6	120075.076465737
8.32812294968932E-6	120075.076465737
8.32812294968932E-6	120075.076465737
8.32812294968932E-6	120075.076465737
8.796352317024908E-6	113683.486513444
8.796352317024908E-6	113683.486513444
8.796352317024908E-6	113683.486513444
8.796352317024908E-6	113683.486513444
8.796352317024908E-6	113683.486513444
8.796352317024908E-6	113683.486513444
8.796352317024908E-6	113683.486513444
8.796352317024908E-6	113683.486513444
8.796352317024908E-6	113683.486513444
8.796352317024908E-6	113683.486513444
8.796352317024908E-6	113683.486513444
8.796352317024908E-6	113683.486513444
8.796352317024908E-6	113683.486513444
8.796352317024908E-6	113683.486513444
8.797404410005352E-6	113669.890958144
8.797404410005352E-6	113669.890958144
8.923458291757123E-6	112064.175939919
8.923458291757123E-6	112064.175939919
8.923458291757123E-6	112064.175939919
8.923458291757123E-6	112064.175939919
8.923458291757123E-6	112064.175939919
8.923458291757123E-6	112064.175939919
8.923458291757123E-6	112064.175939919
9.05217847804747E-6	110470.645538542
9.05217847804747E-6	110470.645538542
9.564788759508402E-6	104550.139594656
9.564788759508402E-6	104550.139594656
9.564788759508402E-6	104550.139594656
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.736458184718493E-6	102706.752396833
9.759140686040797E-6	102468.038136838
9.759140686040797E-6	102468.038136838
9.759140686040797E-6	102468.038136838
9.759140686040797E-6	102468.038136838
9.759140686040797E-6	102468.038136838
9.759140686040797E-6	102468.038136838
9.759140686040797E-6	102468.038136838
9.759140686040797E-6	102468.038136838
9.759140686040797E-6	102468.038136838
9.759140686040797E-6	102468.038136838
9.819841973938106E-6	101834.632640118
9.819841973938106E-6	101834.632640118
9.819841973938106E-6	101834.632640118
9.819841973938106E-6	101834.632640118
9.819841973938106E-6	101834.632640118
9.819841973938106E-6	101834.632640118
1.027619544059743E-5	97312.2792166225
1.027619544059743E-5	97312.2792166225
1.027619544059743E-5	97312.2792166225
1.027619544059743E-5	97312.2792166225
1.027619544059743E-5	97312.2792166225
1.027619544059743E-5	97312.2792166225
1.027619544059743E-5	97312.2792166225
1.027619544059743E-5	97312.2792166225
1.027619544059743E-5	97312.2792166225
1.027619544059743E-5	97312.2792166225
1.033819469444034E-5	96728.6871215318
1.033819469444034E-5	96728.6871215318
1.0568062342224728E-5	94624.7256703338
1.0568062342224728E-5	94624.7256703338
1.0568062342224728E-5	94624.7256703338
1.0568062342224728E-5	94624.7256703338
1.0568062342224728E-5	94624.7256703338
1.0568062342224728E-5	94624.7256703338
1.076739823684182E-5	92872.9464633705
1.076739823684182E-5	92872.9464633705
1.076739823684182E-5	92872.9464633705
1.076739823684182E-5	92872.9464633705
1.076739823684182E-5	92872.9464633705
1.076739823684182E-5	92872.9464633705
1.076739823684182E-5	92872.9464633705
1.076739823684182E-5	92872.9464633705
1.076739823684182E-5	92872.9464633705
1.1071928479362374E-5	90318.5024961062
1.1071928479362374E-5	90318.5024961062
1.1071928479362374E-5	90318.5024961062
1.1071928479362374E-5	90318.5024961062
1.1071928479362374E-5	90318.5024961062
1.1071928479362374E-5	90318.5024961062
1.1071928479362374E-5	90318.5024961062
1.1071928479362374E-5	90318.5024961062
1.1071928479362374E-5	90318.5024961062
1.111660595026475E-5	89955.5138028603
1.111660595026475E-5	89955.5138028603
1.111660595026475E-5	89955.5138028603
1.111660595026475E-5	89955.5138028603
1.111660595026475E-5	89955.5138028603
1.111660595026475E-5	89955.5138028603
1.111660595026475E-5	89955.5138028603
1.111660595026475E-5	89955.5138028603
1.111660595026475E-5	89955.5138028603
1.1316319803133651E-5	88367.9515422572
1.1316319803133651E-5	88367.9515422572
1.1316319803133651E-5	88367.9515422572
1.1526242364887465E-5	86758.5435342148
1.1526242364887465E-5	86758.5435342148
1.1526242364887465E-5	86758.5435342148
1.1526242364887465E-5	86758.5435342148
1.163217478686732E-5	85968.446857332
1.163217478686732E-5	85968.446857332
1.163217478686732E-5	85968.446857332
1.163217478686732E-5	85968.446857332
1.163217478686732E-5	85968.446857332
1.163217478686732E-5	85968.446857332
1.163217478686732E-5	85968.446857332
1.163217478686732E-5	85968.446857332
1.1672998063676851E-5	85667.7945584283
1.1703615379739214E-5	85443.6827897776
1.1703615379739214E-5	85443.6827897776
1.1703615379739214E-5	85443.6827897776
1.1703615379739214E-5	85443.6827897776
1.1703615379739214E-5	85443.6827897776
1.1703615379739214E-5	85443.6827897776
1.1703615379739214E-5	85443.6827897776
1.1703615379739214E-5	85443.6827897776
1.1703615379739214E-5	85443.6827897776
1.1703615379739214E-5	85443.6827897776
1.1703615379739214E-5	85443.6827897776
1.1900068334798484E-5	84033.1308918432
1.1900068334798484E-5	84033.1308918432
1.1900068334798484E-5	84033.1308918432
1.1900068334798484E-5	84033.1308918432
1.1900068334798484E-5	84033.1308918432
1.1900068334798484E-5	84033.1308918432
1.2027528844489798E-5	83142.5983616022
1.2027528844489798E-5	83142.5983616022
1.2058727125500158E-5	82927.4922297011
1.2058727125500158E-5	82927.4922297011
1.2058727125500158E-5	82927.4922297011
1.2058727125500158E-5	82927.4922297011
1.2058727125500158E-5	82927.4922297011
1.2058727125500158E-5	82927.4922297011
1.2058727125500158E-5	82927.4922297011
1.2058727125500158E-5	82927.4922297011
1.2058727125500158E-5	82927.4922297011
1.2058727125500158E-5	82927.4922297011
1.2058727125500158E-5	82927.4922297011
1.211938340912281E-5	82512.448549755
1.211938340912281E-5	82512.448549755
1.211938340912281E-5	82512.448549755
1.211938340912281E-5	82512.448549755
1.211938340912281E-5	82512.448549755
1.211938340912281E-5	82512.448549755
1.211938340912281E-5	82512.448549755
1.211938340912281E-5	82512.448549755
1.211938340912281E-5	82512.448549755
1.211938340912281E-5	82512.448549755
1.211938340912281E-5	82512.448549755
1.211938340912281E-5	82512.448549755
1.211938340912281E-5	82512.448549755
1.211938340912281E-5	82512.448549755
1.211938340912281E-5	82512.448549755
1.2137824016127255E-5	82387.0900312381
1.2137824016127255E-5	82387.0900312381
1.2137824016127255E-5	82387.0900312381
1.2252708851645877E-5	81614.6055625628
1.2252708851645877E-5	81614.6055625628
1.2252708851645877E-5	81614.6055625628
1.2252708851645877E-5	81614.6055625628
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3211058600105467E-5	75694.1612530594
1.3254240884968846E-5	75447.5498581034
1.3254240884968846E-5	75447.5498581034
1.3268304014867038E-5	75367.58269026
1.329067563003642E-5	75240.7197223321
1.329067563003642E-5	75240.7197223321
1.329067563003642E-5	75240.7197223321
1.329067563003642E-5	75240.7197223321
1.329067563003642E-5	75240.7197223321
1.329067563003642E-5	75240.7197223321
1.329067563003642E-5	75240.7197223321
1.329067563003642E-5	75240.7197223321
1.329067563003642E-5	75240.7197223321
1.329067563003642E-5	75240.7197223321
1.329067563003642E-5	75240.7197223321
1.3516405685468638E-5	73984.1658552089
1.3516405685468638E-5	73984.1658552089
1.3516405685468638E-5	73984.1658552089
1.3516405685468638E-5	73984.1658552089
1.3516405685468638E-5	73984.1658552089
1.3516405685468638E-5	73984.1658552089
1.376939110729349E-5	72624.8526320319
1.376939110729349E-5	72624.8526320319
1.376939110729349E-5	72624.8526320319
1.376939110729349E-5	72624.8526320319
1.376939110729349E-5	72624.8526320319
1.376939110729349E-5	72624.8526320319
1.376939110729349E-5	72624.8526320319
1.376939110729349E-5	72624.8526320319
1.376939110729349E-5	72624.8526320319
1.376939110729349E-5	72624.8526320319
1.376939110729349E-5	72624.8526320319
1.376939110729349E-5	72624.8526320319
1.376939110729349E-5	72624.8526320319
1.376939110729349E-5	72624.8526320319
1.376939110729349E-5	72624.8526320319
1.376939110729349E-5	72624.8526320319
1.376939110729349E-5	72624.8526320319
