geracao;fi;distancia
81;1.0169754865823773E-5;98330.78704390166;
82;1.043588748473368E-5;95823.18719542229;
83;1.018891999525891E-5;98145.82904422826;
84;9.789445353684656E-6;102150.8332567186;
85;1.0279525493923982E-5;97280.75489389851;
86;1.0128553469121193E-5;98730.78155224127;
87;9.927306240422825E-6;100732.26067390945;
88;1.0040779199023127E-5;99593.86419903453;
89;1.0174113643284722E-5;98288.66032571158;
90;1.0247210426794742E-5;97587.5343971826;
91;9.999889239758866E-6;100001.1076146793;
92;1.0332824001183665E-5;96778.96380364614;
93;9.969421006060518E-6;100306.72788240052;
94;1.0000162466466996E-5;99998.37536172496;
95;1.0381652871897843E-5;96323.77544686607;
96;9.677619657862657E-6;103331.19458642314;
97;1.0396952062801109E-5;96182.03430771457;
98;1.0244293335477133E-5;97615.32272186001;
99;9.918258079954372E-6;100824.1560099231;
100;9.987268469612116E-6;100127.47760237569;
101;9.93532192071458E-6;100650.9912794126;
102;1.03124571961513E-5;96970.09946118457;
103;9.915818948011157E-6;100848.95713032082;
104;1.0200297184565856E-5;98036.35932422707;
105;9.99718258698549E-6;100028.18207019824;
106;9.817145157897473E-6;101862.60709362567;
107;1.0201554742215762E-5;98024.27426692429;
108;1.0568817672842573E-5;94617.96304515503;
109;1.0829599674191705E-5;92339.51670283118;
110;9.797470334340054E-6;102067.16283641178;
111;9.819716859391513E-6;101835.9301310818;
112;1.0157159370465534E-5;98452.72320012508;
113;9.926609504684262E-6;100739.33093954291;
114;9.917331756003669E-6;100833.57344525948;
115;1.0173225387230923E-5;98297.24221535139;
116;1.011034648031318E-5;98908.57864734858;
117;9.955132543437375E-6;100450.69672720935;
118;9.6266116220204E-6;103878.71031511744;
119;9.910670914523417E-6;100901.34246457196;
120;1.0043949990728768E-5;99562.42324215735;
121;9.97165004910283E-6;100284.30551370705;
122;1.0211081615069213E-5;97932.81825543627;
123;1.0429938779717284E-5;95877.8398531603;
124;1.0037602230394822E-5;99625.38632701583;
125;1.0541381778640309E-5;94864.22378006179;
126;1.0319997118816982E-5;96899.25185896113;
127;1.0483994772740592E-5;95383.48899220147;
128;9.720732022390698E-6;102872.91098001711;
129;1.025385495875681E-5;97524.29735179727;
130;9.494403821779602E-6;105325.201958027;
131;9.819658742301459E-6;101836.53284122451;
132;1.0157568119389087E-5;98448.76138129641;
133;9.900695648707253E-6;101003.00377686808;
134;1.0354236314649762E-5;96578.82721733357;
135;9.769144125234607E-6;102363.11259006888;
136;1.1205069512522507E-5;89245.31872670891;
137;1.0420792827962112E-5;95961.98835435056;
138;9.8847153687396E-6;101166.2918653681;
139;1.0420488505740701E-5;95964.79084920969;
140;1.0181055326975214E-5;98221.64479849649;
141;1.0054003233820196E-5;99462.86834642605;
142;1.0220802478262223E-5;97839.67571301931;
143;1.0163343019517878E-5;98392.8219365991;
144;1.008945222552598E-5;99113.40850299415;
145;1.0280530248507073E-5;97271.2472827186;
146;1.0574320649430277E-5;94568.72296130702;
147;1.0193022928393619E-5;98106.32302360534;
148;1.0177086589631525E-5;98259.94808954517;
149;1.0044048672977994E-5;99561.4450465926;
150;9.85214117376296E-6;101500.77859857307;
151;9.883332636801797E-6;101180.44557929557;
152;1.0022294992815548E-5;99777.54603280456;
153;9.879425680779063E-6;101220.45879099553;
154;9.952641860578452E-6;100475.83485957763;
155;1.0357735659521892E-5;96546.1982108703;
156;1.0519069582343165E-5;95065.4420689977;
157;1.0519069582343165E-5;95065.4420689977;
158;9.926580120534827E-6;100739.62914290381;
159;9.76944135605557E-6;102359.99823880942;
160;9.960413273687442E-6;100397.44060035274;
161;9.935774821783305E-6;100646.40331900324;
162;1.0023807832046498E-5;99762.48714614836;
163;9.84404803491224E-6;101584.22596613376;
164;9.857975318162793E-6;101440.70843406896;
165;1.0125845421678699E-5;98757.18602804984;
166;9.92846293927665E-6;100720.52503152679;
167;9.872338894950175E-6;101293.11915249511;
168;1.0066845998722667E-5;99335.97872927481;
