geracao;fi;distancia
0;6.821440383217753E-6;146596.6047962862;
1;7.181910571842936E-6;139238.7151018774;
2;7.181910571842936E-6;139238.7151018774;
3;7.184789784639224E-6;139182.91696410626;
4;7.391295827621873E-6;135294.2736053019;
5;7.391295827621873E-6;135294.2736053019;
6;7.391295827621873E-6;135294.2736053019;
7;7.391295827621873E-6;135294.2736053019;
8;7.42037305307994E-6;134764.1139935592;
9;7.42037305307994E-6;134764.1139935592;
10;7.42037305307994E-6;134764.1139935592;
11;7.42037305307994E-6;134764.1139935592;
12;7.549254786218694E-6;132463.4057689401;
13;7.549254786218694E-6;132463.4057689401;
14;7.549254786218694E-6;132463.4057689401;
15;7.549254786218694E-6;132463.4057689401;
16;7.549254786218694E-6;132463.4057689401;
17;7.868572693899446E-6;127087.8517491878;
18;7.868572693899446E-6;127087.8517491878;
19;7.868572693899446E-6;127087.8517491878;
20;7.868572693899446E-6;127087.8517491878;
21;7.868572693899446E-6;127087.8517491878;
22;7.868572693899446E-6;127087.8517491878;
23;7.868572693899446E-6;127087.8517491878;
24;7.868572693899446E-6;127087.8517491878;
25;7.934233149247525E-6;126036.12487677389;
26;7.934233149247525E-6;126036.12487677389;
27;8.215366756161582E-6;121723.11105283194;
28;8.215366756161582E-6;121723.11105283194;
29;8.215366756161582E-6;121723.11105283194;
30;8.215366756161582E-6;121723.11105283194;
31;8.215366756161582E-6;121723.11105283194;
32;8.215366756161582E-6;121723.11105283194;
33;8.215366756161582E-6;121723.11105283194;
34;8.215366756161582E-6;121723.11105283194;
35;8.215366756161582E-6;121723.11105283194;
36;8.215366756161582E-6;121723.11105283194;
37;8.215366756161582E-6;121723.11105283194;
38;8.215366756161582E-6;121723.11105283194;
39;8.215366756161582E-6;121723.11105283194;
40;8.215366756161582E-6;121723.11105283194;
41;8.215366756161582E-6;121723.11105283194;
42;8.215366756161582E-6;121723.11105283194;
43;8.215366756161582E-6;121723.11105283194;
44;8.215366756161582E-6;121723.11105283194;
45;8.215366756161582E-6;121723.11105283194;
46;8.215366756161582E-6;121723.11105283194;
47;8.215366756161582E-6;121723.11105283194;
48;8.215366756161582E-6;121723.11105283194;
49;8.215366756161582E-6;121723.11105283194;
50;8.215366756161582E-6;121723.11105283194;
51;8.215366756161582E-6;121723.11105283194;
52;8.215366756161582E-6;121723.11105283194;
53;8.215366756161582E-6;121723.11105283194;
54;8.215366756161582E-6;121723.11105283194;
55;8.215366756161582E-6;121723.11105283194;
56;8.215366756161582E-6;121723.11105283194;
57;8.215366756161582E-6;121723.11105283194;
58;8.215366756161582E-6;121723.11105283194;
59;8.215366756161582E-6;121723.11105283194;
60;8.215366756161582E-6;121723.11105283194;
61;8.215366756161582E-6;121723.11105283194;
62;8.327347258850927E-6;120086.2614366328;
63;8.327347258850927E-6;120086.2614366328;
64;8.327347258850927E-6;120086.2614366328;
65;8.327347258850927E-6;120086.2614366328;
66;8.327347258850927E-6;120086.2614366328;
67;8.404772339825393E-6;118980.02225016539;
68;8.404772339825393E-6;118980.02225016539;
69;8.404772339825393E-6;118980.02225016539;
70;8.404772339825393E-6;118980.02225016539;
71;8.404772339825393E-6;118980.02225016539;
72;8.404772339825393E-6;118980.02225016539;
73;8.44080571459313E-6;118472.10252347372;
74;8.44080571459313E-6;118472.10252347372;
75;8.44080571459313E-6;118472.10252347372;
76;8.44080571459313E-6;118472.10252347372;
77;8.44080571459313E-6;118472.10252347372;
78;8.44080571459313E-6;118472.10252347372;
79;8.44080571459313E-6;118472.10252347372;
80;8.44080571459313E-6;118472.10252347372;
81;8.44080571459313E-6;118472.10252347372;
82;8.44080571459313E-6;118472.10252347372;
83;8.44080571459313E-6;118472.10252347372;
84;8.44080571459313E-6;118472.10252347372;
85;8.44080571459313E-6;118472.10252347372;
86;8.44080571459313E-6;118472.10252347372;
87;8.44080571459313E-6;118472.10252347372;
88;8.587466687060667E-6;116448.77778760638;
89;8.587466687060667E-6;116448.77778760638;
90;8.685957049163964E-6;115128.36113969173;
91;8.685957049163964E-6;115128.36113969173;
92;8.685957049163964E-6;115128.36113969173;
93;8.685957049163964E-6;115128.36113969173;
94;8.685957049163964E-6;115128.36113969173;
95;8.685957049163964E-6;115128.36113969173;
96;8.758973688021368E-6;114168.6270124985;
97;8.758973688021368E-6;114168.6270124985;
98;8.758973688021368E-6;114168.6270124985;
99;8.758973688021368E-6;114168.6270124985;
100;8.758973688021368E-6;114168.6270124985;
101;8.758973688021368E-6;114168.6270124985;
102;8.758973688021368E-6;114168.6270124985;
103;8.758973688021368E-6;114168.6270124985;
104;8.758973688021368E-6;114168.6270124985;
105;8.758973688021368E-6;114168.6270124985;
106;8.758973688021368E-6;114168.6270124985;
107;8.758973688021368E-6;114168.6270124985;
108;8.758973688021368E-6;114168.6270124985;
109;8.758973688021368E-6;114168.6270124985;
110;8.758973688021368E-6;114168.6270124985;
111;8.758973688021368E-6;114168.6270124985;
112;8.758973688021368E-6;114168.6270124985;
113;8.758973688021368E-6;114168.6270124985;
114;8.758973688021368E-6;114168.6270124985;
115;8.758973688021368E-6;114168.6270124985;
116;8.758973688021368E-6;114168.6270124985;
117;8.758973688021368E-6;114168.6270124985;
118;8.758973688021368E-6;114168.6270124985;
119;8.758973688021368E-6;114168.6270124985;
120;8.758973688021368E-6;114168.6270124985;
121;8.758973688021368E-6;114168.6270124985;
122;8.758973688021368E-6;114168.6270124985;
123;8.758973688021368E-6;114168.6270124985;
124;8.758973688021368E-6;114168.6270124985;
125;8.758973688021368E-6;114168.6270124985;
126;8.758973688021368E-6;114168.6270124985;
127;8.758973688021368E-6;114168.6270124985;
128;8.758973688021368E-6;114168.6270124985;
129;8.758973688021368E-6;114168.6270124985;
130;8.81869993452273E-6;113395.3992566729;
131;8.81869993452273E-6;113395.3992566729;
132;8.81869993452273E-6;113395.3992566729;
133;8.81869993452273E-6;113395.3992566729;
134;8.81869993452273E-6;113395.3992566729;
135;8.82150369394231E-6;113359.35852826269;
136;8.82150369394231E-6;113359.35852826269;
137;8.82150369394231E-6;113359.35852826269;
138;8.82150369394231E-6;113359.35852826269;
139;8.82150369394231E-6;113359.35852826269;
140;8.82150369394231E-6;113359.35852826269;
141;8.82150369394231E-6;113359.35852826269;
142;8.82150369394231E-6;113359.35852826269;
143;8.82150369394231E-6;113359.35852826269;
144;8.82150369394231E-6;113359.35852826269;
145;8.82150369394231E-6;113359.35852826269;
146;8.82150369394231E-6;113359.35852826269;
147;8.82150369394231E-6;113359.35852826269;
148;8.82150369394231E-6;113359.35852826269;
149;8.82150369394231E-6;113359.35852826269;
150;8.82150369394231E-6;113359.35852826269;
151;8.82150369394231E-6;113359.35852826269;
152;8.82150369394231E-6;113359.35852826269;
153;8.82150369394231E-6;113359.35852826269;
154;8.82150369394231E-6;113359.35852826269;
155;8.82150369394231E-6;113359.35852826269;
156;8.82150369394231E-6;113359.35852826269;
157;8.82150369394231E-6;113359.35852826269;
158;8.82150369394231E-6;113359.35852826269;
159;8.82150369394231E-6;113359.35852826269;
160;8.82150369394231E-6;113359.35852826269;
161;8.82150369394231E-6;113359.35852826269;
162;8.82150369394231E-6;113359.35852826269;
163;8.82150369394231E-6;113359.35852826269;
164;8.82150369394231E-6;113359.35852826269;
165;8.82150369394231E-6;113359.35852826269;
166;8.82150369394231E-6;113359.35852826269;
167;8.82150369394231E-6;113359.35852826269;
168;8.82150369394231E-6;113359.35852826269;
169;8.82150369394231E-6;113359.35852826269;
170;8.82150369394231E-6;113359.35852826269;
171;8.82150369394231E-6;113359.35852826269;
172;8.82150369394231E-6;113359.35852826269;
173;8.82150369394231E-6;113359.35852826269;
174;8.82150369394231E-6;113359.35852826269;
175;8.82150369394231E-6;113359.35852826269;
176;8.82150369394231E-6;113359.35852826269;
177;8.82150369394231E-6;113359.35852826269;
178;8.821757985984587E-6;113356.09088219519;
179;8.821757985984587E-6;113356.09088219519;
180;8.821757985984587E-6;113356.09088219519;
181;8.821757985984587E-6;113356.09088219519;
182;8.82295166938104E-6;113340.75459920923;
183;8.82295166938104E-6;113340.75459920923;
184;8.82295166938104E-6;113340.75459920923;
185;8.82295166938104E-6;113340.75459920923;
186;8.82295166938104E-6;113340.75459920923;
187;8.82295166938104E-6;113340.75459920923;
188;8.82295166938104E-6;113340.75459920923;
189;8.82295166938104E-6;113340.75459920923;
190;8.82295166938104E-6;113340.75459920923;
191;8.82295166938104E-6;113340.75459920923;
192;8.82295166938104E-6;113340.75459920923;
193;8.82295166938104E-6;113340.75459920923;
194;8.82295166938104E-6;113340.75459920923;
195;8.82295166938104E-6;113340.75459920923;
196;8.82295166938104E-6;113340.75459920923;
197;8.82295166938104E-6;113340.75459920923;
198;8.82295166938104E-6;113340.75459920923;
199;8.82295166938104E-6;113340.75459920923;
200;8.82295166938104E-6;113340.75459920923;
201;8.82295166938104E-6;113340.75459920923;
202;8.830804658763223E-6;113239.96381322431;
203;8.830804658763223E-6;113239.96381322431;
204;8.830804658763223E-6;113239.96381322431;
205;8.830804658763223E-6;113239.96381322431;
206;8.830804658763223E-6;113239.96381322431;
207;8.830804658763223E-6;113239.96381322431;
208;8.830804658763223E-6;113239.96381322431;
209;8.830804658763223E-6;113239.96381322431;
210;8.830804658763223E-6;113239.96381322431;
211;8.830804658763223E-6;113239.96381322431;
212;8.830804658763223E-6;113239.96381322431;
213;8.830804658763223E-6;113239.96381322431;
214;8.830804658763223E-6;113239.96381322431;
215;8.830804658763223E-6;113239.96381322431;
216;8.830804658763223E-6;113239.96381322431;
217;8.830804658763223E-6;113239.96381322431;
218;8.830804658763223E-6;113239.96381322431;
219;8.830804658763223E-6;113239.96381322431;
220;8.830804658763223E-6;113239.96381322431;
221;8.830804658763223E-6;113239.96381322431;
222;8.830804658763223E-6;113239.96381322431;
223;8.830804658763223E-6;113239.96381322431;
224;8.830804658763223E-6;113239.96381322431;
225;8.830804658763223E-6;113239.96381322431;
226;8.917181136018483E-6;112143.0623362328;
227;8.917181136018483E-6;112143.0623362328;
228;8.917181136018483E-6;112143.0623362328;
229;8.917181136018483E-6;112143.0623362328;
230;8.917181136018483E-6;112143.0623362328;
231;8.917181136018483E-6;112143.0623362328;
232;8.917181136018483E-6;112143.0623362328;
233;8.917181136018483E-6;112143.0623362328;
234;8.917181136018483E-6;112143.0623362328;
235;8.917181136018483E-6;112143.0623362328;
236;8.917181136018483E-6;112143.0623362328;
237;9.04649662348418E-6;110540.02909856374;
238;9.04649662348418E-6;110540.02909856374;
239;9.04649662348418E-6;110540.02909856374;
240;9.04649662348418E-6;110540.02909856374;
241;9.04649662348418E-6;110540.02909856374;
242;9.151173804561124E-6;109275.59910419147;
243;9.151173804561124E-6;109275.59910419147;
244;9.151173804561124E-6;109275.59910419147;
245;9.151173804561124E-6;109275.59910419147;
246;9.151173804561124E-6;109275.59910419147;
247;9.151173804561124E-6;109275.59910419147;
248;9.151173804561124E-6;109275.59910419147;
249;9.151173804561124E-6;109275.59910419147;
250;9.151173804561124E-6;109275.59910419147;
251;9.151173804561124E-6;109275.59910419147;
252;9.151173804561124E-6;109275.59910419147;
253;9.151173804561124E-6;109275.59910419147;
254;9.151173804561124E-6;109275.59910419147;
255;9.151173804561124E-6;109275.59910419147;
256;9.151173804561124E-6;109275.59910419147;
257;9.151173804561124E-6;109275.59910419147;
258;9.151173804561124E-6;109275.59910419147;
259;9.388682933460707E-6;106511.21217823423;
260;9.388682933460707E-6;106511.21217823423;
261;9.388682933460707E-6;106511.21217823423;
262;9.388682933460707E-6;106511.21217823423;
263;9.388682933460707E-6;106511.21217823423;
264;9.388682933460707E-6;106511.21217823423;
265;9.388682933460707E-6;106511.21217823423;
266;9.388682933460707E-6;106511.21217823423;
267;9.388682933460707E-6;106511.21217823423;
268;9.388682933460707E-6;106511.21217823423;
269;9.388682933460707E-6;106511.21217823423;
270;9.388682933460707E-6;106511.21217823423;
271;9.491145456495477E-6;105361.36071074831;
272;9.491145456495477E-6;105361.36071074831;
273;9.491145456495477E-6;105361.36071074831;
274;9.491145456495477E-6;105361.36071074831;
275;9.491145456495477E-6;105361.36071074831;
276;9.491145456495477E-6;105361.36071074831;
277;9.491145456495477E-6;105361.36071074831;
278;9.491145456495477E-6;105361.36071074831;
279;9.491145456495477E-6;105361.36071074831;
280;9.491145456495477E-6;105361.36071074831;
281;9.491145456495477E-6;105361.36071074831;
282;9.491145456495477E-6;105361.36071074831;
283;9.491145456495477E-6;105361.36071074831;
284;9.491145456495477E-6;105361.36071074831;
285;9.491145456495477E-6;105361.36071074831;
286;9.491145456495477E-6;105361.36071074831;
287;9.491145456495477E-6;105361.36071074831;
288;9.491145456495477E-6;105361.36071074831;
289;9.491145456495477E-6;105361.36071074831;
290;9.491145456495477E-6;105361.36071074831;
